nm,HL,LL,HL_UB,HL_LB,LL_UB,LL_LB
476,2.06E-09,3.53E-09,2.11965E-09,1.99247E-09,3.86851E-09,3.18335E-09
477,2.01E-09,3.50E-09,2.06611E-09,1.94576E-09,3.81734E-09,3.18848E-09
478,1.96E-09,3.48E-09,2.01414E-09,1.89781E-09,3.76645E-09,3.19337E-09
479,1.94E-09,3.45E-09,1.98942E-09,1.88812E-09,3.71893E-09,3.17256E-09
480,1.92E-09,3.41E-09,1.96643E-09,1.87677E-09,3.67151E-09,3.15169E-09
481,1.89E-09,3.33E-09,1.9399E-09,1.8437E-09,3.58613E-09,3.07563E-09
482,1.86E-09,3.25E-09,1.91429E-09,1.80986E-09,3.50089E-09,2.99969E-09
483,1.85E-09,3.28E-09,1.89877E-09,1.80924E-09,3.52457E-09,3.04367E-09
484,1.85E-09,3.32E-09,1.88389E-09,1.80802E-09,3.54838E-09,3.08756E-09
485,1.83E-09,3.29E-09,1.86923E-09,1.78273E-09,3.53389E-09,3.05209E-09
486,1.81E-09,3.27E-09,1.85538E-09,1.75669E-09,3.51952E-09,3.01653E-09
487,1.81E-09,3.26E-09,1.85223E-09,1.75858E-09,3.5111E-09,3.01034E-09
488,1.80E-09,3.25E-09,1.85028E-09,1.75928E-09,3.50268E-09,3.00415E-09
489,1.81E-09,3.26E-09,1.85842E-09,1.76196E-09,3.52884E-09,2.98856E-09
490,1.82E-09,3.26E-09,1.86674E-09,1.76446E-09,3.55521E-09,2.97277E-09
491,1.80E-09,3.23E-09,1.85478E-09,1.75385E-09,3.49239E-09,2.96356E-09
492,1.79E-09,3.19E-09,1.84349E-09,1.74259E-09,3.42993E-09,2.95405E-09
493,1.77E-09,3.16E-09,1.8266E-09,1.72043E-09,3.37319E-09,2.95208E-09
494,1.75E-09,3.13E-09,1.80981E-09,1.69821E-09,3.3172E-09,2.94942E-09
495,1.76E-09,3.16E-09,1.81452E-09,1.70364E-09,3.36626E-09,2.9586E-09
496,1.76E-09,3.19E-09,1.82051E-09,1.7078E-09,3.41577E-09,2.96737E-09
497,1.72E-09,3.15E-09,1.77541E-09,1.66816E-09,3.39329E-09,2.91199E-09
498,1.68E-09,3.11E-09,1.73349E-09,1.6256E-09,3.37108E-09,2.85641E-09
499,1.66E-09,3.04E-09,1.71094E-09,1.61013E-09,3.30062E-09,2.78538E-09
500,1.64E-09,2.97E-09,1.68955E-09,1.59356E-09,3.23027E-09,2.71442E-09
501,1.61E-09,2.94E-09,1.65979E-09,1.55936E-09,3.18942E-09,2.69127E-09
502,1.58E-09,2.91E-09,1.63107E-09,1.52427E-09,3.14861E-09,2.66812E-09
503,1.55E-09,2.86E-09,1.59333E-09,1.49716E-09,3.08089E-09,2.63482E-09
504,1.51E-09,2.81E-09,1.55597E-09,1.46984E-09,3.01338E-09,2.60142E-09
